geohash,count_buildings,distance_park,geometry
dr5xfdq1bw86kr9hwgvj,1,990.0,"POLYGON((-73.7050000000001 40.7450000000001, -73.7050000000001 40.7550000000001, -73.7150000000001 40.7550000000001, -73.7150000000001 40.7450000000001, -73.7050000000001 40.7450000000001))"
dr5nw2ky1e7pn3sb1xep,4,1080.0,"POLYGON((-74.2450000000001 40.515, -74.2450000000001 40.525, -74.2550000000001 40.525, -74.2550000000001 40.515, -74.2450000000001 40.515))"
dr5rztbn6qbg4hm7kbqn,1,1020.0,"POLYGON((-73.845 40.765, -73.845 40.775, -73.855 40.775, -73.855 40.765, -73.845 40.765))"
dr5nwtuhfegsp8w4nys3,1,1290.0,"POLYGON((-74.2349999999999 40.545, -74.2349999999999 40.555, -74.2449999999999 40.555, -74.2449999999999 40.545, -74.2349999999999 40.545))"
dr5r0smwgubwe76uy2ty,17,990.0,"POLYGON((-74.1450000000001 40.6250000000001, -74.1450000000001 40.6350000000001, -74.1550000000001 40.6350000000001, -74.1550000000001 40.6250000000001, -74.1450000000001 40.6250000000001))"
dr5rztbn6qbg4hm7kbqn,7,960.0,"POLYGON((-73.845 40.765, -73.845 40.775, -73.855 40.775, -73.855 40.765, -73.845 40.765))"
dr5x31gj9mkee4rq9zmx,11,930.0,"POLYGON((-73.7750000000001 40.6549999999999, -73.7750000000001 40.6649999999999, -73.7850000000001 40.6649999999999, -73.7850000000001 40.6549999999999, -73.7750000000001 40.6549999999999))"
dr5x29umxm7e8dkqxr7x,2,900.0,"POLYGON((-73.7949999999999 40.6549999999999, -73.7949999999999 40.6649999999999, -73.8049999999999 40.6649999999999, -73.8049999999999 40.6549999999999, -73.7949999999999 40.6549999999999))"
dr72p19dbppez949fkgz,1,1410.0,"POLYGON((-73.8650000000002 40.785, -73.8650000000002 40.795, -73.8750000000002 40.795, -73.8750000000002 40.785, -73.8650000000002 40.785))"
dr5nwsh4deexxwnnyuk2,2,1260.0,"POLYGON((-74.2349999999999 40.535, -74.2349999999999 40.545, -74.2449999999999 40.545, -74.2449999999999 40.535, -74.2349999999999 40.535))"
dr5nze35wsmbuzeuhj2e,1,1590.0,"POLYGON((-74.195 40.5750000000001, -74.195 40.5850000000001, -74.2049999999999 40.5850000000001, -74.2049999999999 40.5750000000001, -74.195 40.5750000000001))"
dr5rm9vvdjk7xf6ndxmx,25,900.0,"POLYGON((-73.9249999999999 40.6549999999999, -73.9249999999999 40.6649999999999, -73.9349999999999 40.6649999999999, -73.9349999999999 40.6549999999999, -73.9249999999999 40.6549999999999))"
