geohash,count_buildings,distance_park,geometry
xn766gq6mbw4bk3h7kbe,70,600.0,"POLYGON((139.705 35.565, 139.705 35.575, 139.695 35.575, 139.695 35.565, 139.705 35.565))"
xn7675mdqbwdcs6s2sce,9,630.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76vgtne1v1c1e6rcq8,3,690.0,"POLYGON((139.835 35.655, 139.835 35.665, 139.825 35.665, 139.825 35.655, 139.835 35.655))"
xn76tyjpg1mhc4e2rfqw,10,900.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76twjzf1kkzfd06dmw,6,810.0,"POLYGON((139.825 35.6249999999999, 139.825 35.6349999999999, 139.815 35.6349999999999, 139.815 35.6249999999999, 139.825 35.6249999999999))"
xn76u9ckm19v3r5nbr00,1,570.0,"POLYGON((139.775 35.6450000000001, 139.775 35.6550000000001, 139.765 35.6550000000001, 139.765 35.6450000000001, 139.775 35.6450000000001))"
xn76hrdju0360p9tfbr4,1,930.0,"POLYGON((139.765 35.545, 139.765 35.555, 139.755 35.555, 139.755 35.545, 139.765 35.545))"
xn766cw2jbqn8611568d,14,600.0,"POLYGON((139.705 35.5549999999999, 139.705 35.5649999999999, 139.695 35.5649999999999, 139.695 35.5549999999999, 139.705 35.5549999999999))"
xn76zr2g16062y7bztv1,1,570.0,"POLYGON((139.895 35.6749999999999, 139.895 35.6849999999999, 139.885 35.6849999999999, 139.885 35.6749999999999, 139.895 35.6749999999999))"
xn76htc7t01vcm742q01,1,1470.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76hzxvz06f5ztvfb66,1,690.0,"POLYGON((139.795 35.545, 139.795 35.555, 139.785 35.555, 139.785 35.545, 139.795 35.545))"
xn7675mdqbwdcs6s2sce,10,660.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76kc88n06qddh3jd96,1,1800.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76hz8ty0664xsmv836,2,1740.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn766gq6mbw4bk3h7kbe,86,570.0,"POLYGON((139.705 35.565, 139.705 35.575, 139.695 35.575, 139.695 35.565, 139.705 35.565))"
xn76ujdbg1bwngbjtew1,13,600.0,"POLYGON((139.755 35.665, 139.755 35.675, 139.745 35.675, 139.745 35.665, 139.755 35.665))"
xn76vbj451t11hg7xuwx,2,750.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn76hz8ty0664xsmv836,1,1470.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn76mqywc0ggw90ej3kk,3,1830.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn7675mdqbwdcs6s2sce,9,600.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76y5sqs1v9f3sfm1r8,1,690.0,"POLYGON((139.845 35.655, 139.845 35.665, 139.835 35.665, 139.835 35.655, 139.845 35.655))"
xn76t2y910gzye2wm7sm,2,1740.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76vbj451t11hg7xuwx,4,600.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn76y5sqs1v9f3sfm1r8,1,570.0,"POLYGON((139.845 35.655, 139.845 35.665, 139.835 35.665, 139.835 35.655, 139.845 35.655))"
xn76vbj451t11hg7xuwx,6,570.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn7675mdqbwdcs6s2sce,32,690.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76vbj451t11hg7xuwx,21,690.0,"POLYGON((139.835 35.635, 139.835 35.645, 139.825 35.645, 139.825 35.635, 139.835 35.635))"
xn76htc7t01vcm742q01,2,1260.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn7720rn3dz80f01ec5u,2,570.0,"POLYGON((139.585 35.7249999999999, 139.585 35.7349999999999, 139.575 35.7349999999999, 139.575 35.7249999999999, 139.585 35.7249999999999))"
xn766gq6mbw4bk3h7kbe,26,630.0,"POLYGON((139.705 35.565, 139.705 35.575, 139.695 35.575, 139.695 35.565, 139.705 35.565))"
xn76t0z300grv5rq25em,1,840.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76t0z300grv5rq25em,1,930.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76mqywc0ggw90ej3kk,3,1860.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76hz8ty0664xsmv836,1,1140.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
